date;snow;rain
2022-11-01;5.4;4.4
2022-11-02;5.4;0.7
2022-11-03;8.6;6.9
2022-11-04;5.1;5.3
2022-11-05;1.3;2.3
2022-11-06;1.6;8.1
2022-11-07;1.9;1.7
2022-11-08;3.4;7.1
2022-11-09;0.8;2.3
2022-11-10;7.7;2.2
2022-11-11;0.6;4.0
2022-11-12;0.4;3.1
2022-11-13;1.2;0.4
2022-11-14;4.8;4.8
2022-11-15;8.9;7.3
2022-11-16;7.2;0.4
2022-11-17;1.1;0.0
2022-11-18;0.9;1.9
2022-11-19;2.2;4.9
2022-11-20;4.4;5.1
2022-11-21;1.8;7.3
2022-11-22;4.7;3.6
2022-11-23;0.9;2.4
2022-11-24;2.0;6.1
2022-11-25;4.9;7.1
2022-11-26;7.4;0.9
2022-11-27;7.1;1.6
2022-11-28;7.8;1.3
2022-11-29;2.9;2.6
2022-11-30;1.2;5.1
2022-12-01;5.9;8.7
2022-12-02;5.0;4.4
2022-12-03;0.5;7.4
2022-12-04;8.3;3.8
2022-12-05;8.4;0.5
2022-12-06;8.0;3.0
2022-12-07;4.4;8.5
2022-12-08;1.5;3.3
2022-12-09;5.6;0.4
2022-12-10;1.4;0.3
2022-12-11;1.7;5.2
2022-12-12;4.4;8.8
2022-12-13;4.1;1.1
2022-12-14;2.7;3.3
2022-12-15;5.3;5.6
2022-12-16;6.4;1.5
2022-12-17;3.1;4.8
2022-12-18;1.7;2.6
2022-12-19;3.7;7.7
2022-12-20;5.0;6.2
2022-12-21;5.0;8.4
2022-12-22;1.8;8.6
2022-12-23;5.1;3.6
2022-12-24;2.8;1.9
2022-12-25;3.9;0.8
2022-12-26;8.1;5.7
2022-12-27;7.5;2.0
2022-12-28;1.0;8.9
2022-12-29;2.5;3.9
2022-12-30;5.7;2.4
2022-12-31;7.3;0.1